UUID,First_Name,Middle_Name,Last_Name,Name_Data_Quality,SSN,SSNDataQuality,DOB,DOBDataQuality,AmIndAKNative,Asian,Black,NativeHIOtherPacific,White,RaceNone,Gender,OtherGender,VeteranStatus,YearEnteredService,YearSeparated,WorldWarII,KoreanWar,VietnamWar,DesertStorm,AfghanistanOEF,IraqOIF,IraqOND,OtherTheater,MilitaryBranch,Discharge_Status,,Date_Created,DateUpdated,UserID
177592,Ann,E,Carmack,1,100177592,1,1/1/1967,1,0,0,0,0,1,0,99,1,1,1987,1984,0,0,0,0,0,0,0,0,2,1,,7/29/11 1:48,2/4/16 8:32,249427
180884,Colene,Kulprathipanja,Downing,1,100180884,1,1/1/1954,1,0,0,1,0,0,0,1,0,1,1972,1973,0,0,0,0,0,0,0,0,4,2,,1/25/12 10:13,8/14/15 12:34,245076
181183,Kevin,Elizabeth Hartman,Nguyen,1,100181183,1,1/1/1961,1,0,0,1,0,0,0,1,0,1,1983,1984,0,0,0,0,0,0,0,0,1,6,,2/10/12 10:34,2/29/16 6:00,248351
182784,Trisha,W,Ford,1,100182784,1,1/1/1963,1,0,0,1,0,0,0,1,0,1,1990,1991,0,0,0,0,0,0,0,0,1,2,,5/24/12 4:16,2/4/16 12:03,248351
183833,Gregory,Durbin,Ennis,1,100183833,1,1/1/1981,1,0,0,1,0,0,0,1,0,1,2002,2003,0,0,0,0,0,0,0,0,1,1,,7/30/12 4:36,2/4/16 9:07,249221
185836,Scott,D,Wang,1,100185836,1,1/1/1970,1,0,0,1,0,0,0,1,0,1,1996,2005,0,0,0,0,1,1,0,0,3,1,,12/14/12 9:55,10/28/15 2:36,246539
187565,Melissa,A,Samonek,1,100187565,1,1/1/1955,1,0,0,1,0,0,0,1,0,1,1977,1983,0,0,0,0,0,0,0,0,1,1,,4/22/13 2:49,1/4/16 8:41,245092
188821,Adam,Evans,Roth,1,100188821,1,1/1/1951,1,0,0,1,0,0,0,1,0,1,1971,1972,0,0,0,0,0,0,0,0,1,6,,8/2/13 1:14,10/28/15 10:38,182894
189044,Elizabeth,S,Tapia,1,100189044,1,1/1/1960,1,0,0,1,0,0,0,0,0,1,1979,1980,0,0,0,0,0,0,0,0,1,1,,8/22/13 10:05,2/1/16 1:40,245094
189603,Michael,S,Weins,1,100189603,1,1/1/1971,1,0,0,1,0,0,0,0,0,1,1989,1990,0,0,0,0,0,0,0,0,1,7,,10/2/13 11:00,10/26/15 7:52,245094
189605,Stephen,G,Lipski,1,100189605,1,1/1/2002,1,0,0,1,0,0,0,9,1,0,NULL,NULL,0,0,0,0,0,0,0,0,,,,10/2/13 5:03,10/22/15 1:49,245094
189606,Philip,L.,Ahsan,1,100189606,1,1/1/2008,1,0,0,1,0,0,0,99,1,0,NULL,NULL,0,0,0,0,0,0,0,0,,,,10/2/13 5:05,10/26/15 7:52,245094
238430,Erik,Y,Ai,1,100238430,1,1/1/1963,1,0,0,0,0,1,0,1,0,1,1981,1985,0,0,0,0,0,0,0,0,3,1,,12/13/13 12:46,2/5/16 7:17,245094
238431,Philip,M.,Ali,1,100238431,1,1/1/1962,1,0,0,0,0,1,0,0,0,0,NULL,NULL,0,0,0,0,0,0,0,0,,,,12/13/13 12:47,2/5/16 7:19,245094
238583,Dena,J,Schloff,1,100238583,1,1/1/1968,1,0,0,1,0,0,0,1,0,1,1989,1996,0,0,0,1,0,0,0,0,3,1,,1/8/14 2:01,7/28/15 8:55,188978
238612,Nicole,Marie VanDeVoort,Schonberger,1,100238612,1,1/1/1969,1,0,0,1,0,0,0,1,0,1,1996,2011,0,0,0,0,0,1,0,0,1,1,,1/14/14 7:30,1/11/16 9:06,248348
238817,Dean,J,Perkins,1,100238817,1,1/1/1955,1,0,0,1,0,0,0,1,0,1,1973,1947,0,0,1,0,0,0,0,0,4,1,,2/4/14 7:51,11/10/15 9:07,182894
239479,Carolyn,A,Owens,1,100239479,1,1/1/1956,1,0,0,1,0,0,0,1,0,1,1974,1976,0,0,0,0,0,0,0,0,3,2,,4/8/14 9:44,2/12/16 10:34,246539
239861,Yen,A,Smith,1,100239861,1,1/1/1961,1,0,0,1,0,0,0,1,0,1,1979,1982,0,0,0,0,0,0,0,0,3,1,,5/13/14 12:38,2/12/16 2:57,86250
240059,Lisa,Tong,Heydon,1,100240059,1,1/1/1953,1,0,0,1,0,0,0,1,0,1,1974,1979,0,0,0,0,0,0,0,0,2,1,,5/27/14 2:12,11/19/15 9:03,182894
240178,Christopher,P,Chiang,1,100240178,1,1/1/1949,1,0,0,1,0,0,0,1,0,1,1968,1971,0,0,0,0,0,0,0,0,1,1,,6/9/14 8:30,2/15/16 9:47,86250
240179,Melanie,Michael,Whitaker,1,100240179,1,1/1/2007,1,0,0,1,0,0,0,0,0,99,NULL,NULL,0,0,0,0,0,0,0,0,,,,6/9/14 8:32,12/11/15 1:54,245094
240180,Kevin,G,Mancini,2,0180,2,1/1/2008,1,0,0,1,0,0,0,1,0,99,,,0,0,0,0,0,0,0,0,,,,6/9/14 8:33,1/14/16 7:30,182894
240460,Kathleen,R,Cronin,1,100240460,1,1/1/1965,1,0,0,1,0,0,0,0,0,1,1988,1990,0,0,0,0,0,0,0,0,1,1,,7/7/14 12:47,11/6/15 2:51,86270
240712,Dean,M. B.,McQueeney,1,100240712,1,1/1/1983,1,0,0,1,0,0,0,0,0,1,2001,2011,0,0,0,0,0,0,0,0,3,1,,7/29/14 2:18,2/25/15 7:49,241427
240713,Irina,M,Haynes,1,100240713,1,1/1/2005,1,0,0,1,0,0,0,0,0,0,NULL,NULL,0,0,0,0,0,0,0,0,,,,7/29/14 2:21,12/9/15 10:43,248678
240714,Robert,,Murray,1,100240714,1,1/1/2011,1,0,0,1,0,0,0,1,0,0,NULL,NULL,0,0,0,0,0,0,0,0,,,,7/29/14 2:23,7/29/14 2:23,187044
240942,,,,99,,99,1/1/1955,1,0,0,1,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,,,,8/18/14 12:23,8/18/14 12:23,186063
241104,Lynn,C,Zelson,1,100241104,1,1/1/1979,1,0,0,1,0,0,0,1,0,1,1998,2003,0,0,0,0,0,0,0,0,3,4,,9/5/14 2:13,1/13/16 1:13,86250
241169,Daniel,R,Beldon,1,100241169,1,1/1/1957,1,0,0,1,0,0,0,1,0,1,1974,1974,0,0,0,0,0,0,0,0,1,1,,9/12/14 8:03,7/20/15 10:44,188978
243168,Robert,J,Boyer,1,100243168,1,1/1/1978,1,0,0,1,0,0,0,0,0,1,1997,2009,0,0,0,0,0,0,0,0,3,1,,10/28/14 2:31,11/12/15 10:30,182894
243183,James,H,Carr-Trexler,1,100243183,1,1/1/1968,1,0,0,0,0,1,0,0,0,1,1989,1992,0,0,0,0,0,0,0,0,2,1,,10/29/14 9:20,10/29/14 9:20,239008
243203,Janet,A,Hoke,1,100243203,1,1/1/1968,1,0,0,0,0,1,0,0,0,1,1989,1992,0,0,0,0,0,0,0,0,2,1,,10/30/14 8:20,3/10/15 2:01,239008
243213,Harold,A,Jones,1,100243213,1,1/1/2005,1,0,0,1,0,0,0,1,0,99,NULL,NULL,0,0,0,0,0,0,0,0,,,,10/30/14 10:01,10/30/14 10:21,86070
244633,Kent,C,Kiernan,1,100244633,1,1/1/1970,1,0,0,0,0,1,0,1,0,1,1989,1990,0,0,0,0,0,0,0,0,1,1,,12/5/14 7:48,9/29/15 12:00,245076
244634,Johannes,S,Morris,1,100244634,1,1/1/1982,1,0,0,0,0,1,0,0,0,0,NULL,NULL,0,0,0,0,0,0,0,0,,,,12/5/14 8:12,9/29/15 12:00,245076
244636,Bruce,P. M.,Rodgers,1,100244636,1,1/1/1996,1,0,0,0,0,1,0,1,0,0,NULL,NULL,0,0,0,0,0,0,0,0,,,,12/5/14 8:16,9/29/15 12:00,245076
244637,Julie,A,Schaal,1,100244637,1,1/1/2003,1,0,0,0,0,1,0,0,0,99,NULL,NULL,0,0,0,0,0,0,0,0,,,,12/5/14 8:18,9/29/15 12:00,245076
244638,Jean,A.,Yang,1,100244638,1,1/1/2004,1,0,0,0,0,1,0,1,0,0,NULL,NULL,0,0,0,0,0,0,0,0,,,,12/5/14 8:20,9/29/15 12:00,245076
244639,Eloise,A,Chaskar,1,100244639,1,1/1/2006,1,0,0,0,0,1,0,1,0,0,NULL,NULL,0,0,0,0,0,0,0,0,,,,12/5/14 8:21,9/29/15 12:00,245076
244640,Daniel,J,DiRico,1,100244640,1,1/1/2008,1,0,0,0,0,1,0,1,0,0,NULL,NULL,0,0,0,0,0,0,0,0,,,,12/5/14 8:24,9/29/15 12:00,245076
245181,Aleksander,R,Kammlade,1,100245181,1,1/1/1962,1,0,0,0,0,1,0,1,0,1,1981,1983,0,0,0,0,0,0,0,0,1,1,,1/26/15 8:01,2/23/16 5:49,245881
245199,Michelle,,Sorensen,1,100245199,1,1/1/1989,1,0,0,1,0,1,0,0,0,0,NULL,NULL,0,0,0,0,0,0,0,0,,,,1/26/15 1:15,8/3/15 10:05,86270
245519,William,M,Dabbiere,1,100245519,1,1/1/1962,1,0,0,0,0,1,0,1,0,1,1979,1981,0,0,0,0,0,0,0,0,1,2,,2/13/15 12:17,7/6/15 8:36,245092
245538,Robert,D,Aitken,1,100245538,1,NULL,99,0,0,0,0,1,0,0,0,0,NULL,NULL,0,0,0,0,0,0,0,0,,,,2/17/15 9:58,7/6/15 8:40,245092
245678,Sandra,S.,Pathak,1,100245678,1,1/1/1987,1,0,0,0,0,1,0,1,0,1,2008,2012,0,0,0,0,0,0,0,0,3,2,,2/26/15 12:07,7/20/15 2:00,188978
245693,Jeffrey,K,Cuticchia,1,100245693,1,1/1/1963,1,0,0,1,0,0,0,1,0,1,1984,1987,0,0,0,0,0,0,0,0,1,1,,2/27/15 9:37,6/29/15 3:19,245076
245694,Peter,M,Lim,1,100245694,1,1/1/1964,1,0,0,1,0,0,0,0,0,0,NULL,NULL,0,0,0,0,0,0,0,0,,,,2/27/15 9:39,2/4/16 2:07,248351
245780,David,L,Aka,1,100245780,1,1/1/1956,1,0,0,0,0,1,0,1,0,0,NULL,NULL,0,0,0,0,0,0,0,0,,,,3/6/15 7:50,12/29/15 9:36,246539
245839,Steven,B,Chan,2,5839,2,1/1/1954,1,0,0,1,0,0,0,1,0,1,1974,1976,0,0,0,0,0,0,0,0,4,1,,3/11/15 8:37,11/2/15 8:21,182894
245920,Ronnie,J,Nguyen,2,5920,2,1/1/2005,1,0,0,1,0,0,0,0,0,99,,,0,0,0,0,0,0,0,0,,,,3/18/15 9:52,8/4/15 1:18,181017
245921,Ted,L,Matt,2,5921,2,1/1/2007,1,0,0,1,0,0,0,1,0,99,,,0,0,0,0,0,0,0,0,,,,3/18/15 9:54,8/4/15 1:18,181017
246076,Gregg,K,Collins,1,100246076,1,1/1/1959,1,0,0,1,0,0,0,0,0,1,1988,1987,0,0,0,0,0,0,0,0,2,1,,3/30/15 9:51,8/5/15 2:51,245076
246077,David,H,Davis,1,100246077,1,1/1/1997,1,0,0,1,0,0,0,1,0,0,NULL,NULL,0,0,0,0,0,0,0,0,,,,3/30/15 9:53,3/30/15 9:54,245076
246106,Thomas,J,Chiabotti,1,100246106,1,1/1/1957,1,0,0,1,0,0,0,1,0,1,1976,1976,0,0,0,0,0,0,0,0,3,1,,3/31/15 9:48,1/13/16 7:55,248351
246346,Robert,M,Dixon,1,100246346,1,1/1/1958,1,0,0,1,0,0,0,1,0,1,1979,1980,0,0,0,0,0,0,0,0,4,1,,4/23/15 2:28,4/23/15 2:28,245076
246396,Pamela,W,Harris,1,100246396,1,1/1/1955,1,0,0,1,0,0,0,1,0,1,1976,1985,0,0,0,0,0,0,0,0,4,7,,4/30/15 8:16,9/1/15 1:33,177827
246411,Kristofor,Lorena,Passler,1,100246411,1,1/1/1957,1,0,0,1,0,0,0,1,0,1,1978,1982,0,0,0,0,0,0,0,0,1,1,,5/1/15 9:36,2/15/16 5:27,248348
246433,Emily,L,Zachariah,1,100246433,1,1/1/1966,1,0,0,0,0,1,0,1,0,1,1988,2008,0,0,0,1,0,1,0,0,1,1,,5/4/15 12:11,10/28/15 9:49,244892
246586,Lance,M,Hinson,1,100246586,1,1/1/1956,1,0,0,1,0,0,0,1,0,1,1973,1975,0,0,1,0,0,0,0,0,1,1,,5/18/15 10:29,10/13/15 10:26,245076
246662,Amy,L,Smith,1,100246662,1,1/1/1972,1,0,0,1,0,0,0,1,0,1,1992,1993,0,0,0,0,0,0,0,0,4,6,,5/21/15 12:45,2/4/16 2:54,86270
246696,Anna,L,Burke,1,100246696,1,1/1/1965,1,0,0,0,0,1,0,0,0,1,1993,1993,0,0,0,0,0,0,0,0,2,7,,5/26/15 10:00,12/15/15 12:46,245881
246760,Michael,A,DeGrasse,1,100246760,1,1/1/1967,1,0,0,1,0,0,0,0,0,1,1986,1987,0,0,0,0,0,0,0,0,1,1,,5/29/15 2:16,12/9/15 12:00,248678
246799,Kenneth,G.,Graff,1,100246799,1,1/1/1973,1,0,0,1,0,0,0,1,0,1,1991,1993,0,0,0,1,0,0,0,0,1,1,,6/2/15 2:37,7/14/15 12:07,245076
246850,Bradford,B,MacDonald,1,100246850,1,1/1/2008,1,0,0,1,0,0,0,1,0,99,NULL,NULL,0,0,0,0,0,0,0,0,,,,6/4/15 2:09,7/31/15 8:29,245076
246885,Alan,B,Mixon,1,100246885,1,1/1/1958,1,0,0,1,0,0,0,1,0,1,1977,1980,0,0,0,0,0,0,0,0,4,1,,8/31/15 2:27,10/9/15 1:06,245881
246889,William,,Raucci,1,100246889,1,1/1/1957,1,0,0,1,0,0,0,0,0,0,NULL,NULL,0,0,0,0,0,0,0,0,,,,6/8/15 10:49,10/9/15 1:06,245881
246890,Anthony,R,Martin,1,100246890,1,1/1/2004,1,0,0,1,0,0,0,1,0,99,NULL,NULL,0,0,0,0,0,0,0,0,,,,6/8/15 10:51,10/9/15 1:06,245881
246891,Victor,G,LLagostera,1,100246891,1,1/1/2009,1,0,0,1,0,0,0,1,0,99,NULL,NULL,0,0,0,0,0,0,0,0,,,,6/8/15 10:53,10/9/15 1:06,245881
246930,Allen,Martin,Brown,1,100246930,1,1/1/2010,1,0,0,1,0,0,0,1,0,99,NULL,NULL,0,0,0,0,0,0,0,0,,,,6/10/15 9:48,7/31/15 8:29,245076
246938,Leong,J,Landis,1,100246938,1,1/1/1951,1,0,0,0,0,1,0,1,0,1,1969,1972,0,0,0,0,0,0,0,0,3,1,,6/10/15 1:11,1/12/16 2:03,245092
246946,Timothy,Chi,Tatachar,1,100246946,1,1/1/1967,1,0,0,0,0,1,0,0,0,1,1985,1989,0,0,0,0,0,0,0,0,3,1,,6/10/15 2:10,10/28/15 1:46,246539
246952,Les,W,Carrano,1,100246952,1,1/1/1964,1,0,0,1,0,0,0,1,0,1,1983,1986,0,0,0,0,0,0,0,0,4,1,,6/11/15 8:07,10/9/15 10:05,178107
246960,James,A,Clonts,1,100246960,1,1/1/1966,1,0,0,1,0,0,0,0,0,1,1984,1988,0,0,0,0,0,0,0,0,4,1,,6/11/15 12:12,11/9/15 1:50,245094
247032,Alexandra,G,Elderkin,1,100247032,1,1/1/1957,1,0,0,1,0,0,0,1,0,1,1978,1981,0,0,0,0,0,0,0,0,1,1,,6/17/15 8:08,11/30/15 1:06,182894
247045,Robert,J,Garcia,1,100247045,1,1/1/1983,1,0,0,1,0,0,0,0,0,1,2002,2005,0,0,0,0,0,1,0,0,1,1,,6/17/15 12:12,12/14/15 9:52,246539
247093,Anthony,W,Hewitt,1,100247093,1,1/1/1949,1,0,0,1,0,0,0,1,0,1,1970,1972,0,0,0,0,0,0,0,0,1,1,,6/22/15 12:06,10/15/15 10:18,182894
247128,Albert,Randall,Johnson,1,100247128,1,1/1/2010,1,0,0,1,0,0,0,1,0,99,NULL,NULL,0,0,0,0,0,0,0,0,,,,6/24/15 12:18,10/27/15 10:06,178970
247129,Emmett,F,Johnson,1,100247129,1,1/1/2011,1,0,0,1,0,0,0,1,0,99,NULL,NULL,0,0,0,0,0,0,0,0,,,,6/24/15 12:18,10/27/15 10:07,178970
247130,Anthony,S,Joyner,1,100247130,1,1/1/1985,1,0,0,1,0,0,0,1,0,0,NULL,NULL,0,0,0,0,0,0,0,0,,,,6/24/15 12:20,10/28/15 12:40,246539
247171,Darnita,J,Klein,1,100247171,1,1/1/1960,1,0,0,1,0,0,0,1,0,1,1979,1983,0,0,0,0,0,0,0,0,2,1,,6/29/15 8:58,6/30/15 8:44,178547
247191,Angela,Y,Maslowski,1,100247191,1,1/1/1959,1,0,0,1,0,0,0,0,0,1,1983,1986,0,0,0,0,0,0,0,0,1,1,,6/30/15 1:11,6/30/15 1:12,245076
247238,Chester,S,Mikson,1,100247238,1,1/1/1979,1,0,0,1,0,0,0,0,0,1,2005,2009,0,0,0,0,0,0,0,0,1,1,,7/6/15 9:55,7/6/15 9:55,245076
247240,James,,Pearson,1,100247240,1,1/1/1960,1,0,0,1,0,0,0,0,0,0,NULL,NULL,0,0,0,0,0,0,0,0,,,,7/6/15 10:12,7/6/15 10:13,186063
247332,Ryan,,Rhoades,2,7332,2,1/1/1969,1,0,0,0,0,1,0,1,0,1,1989,1990,0,0,0,0,0,0,0,0,1,1,,7/10/15 11:11,10/12/15 11:34,244583
